episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/allreduce_latency,info/learner/default_policy/grad_gnorm,info/learner/default_policy/td_error,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
-17.0,-21.0,-19.6,1252.8,2,3,11088,False,5,11,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-46,1589087206,4.68169903755188,55.807600259780884,19310,ip-172-31-20-81,172.31.20.81,55.807600259780884,0,11,00000,0,"[-21.0, -21.0, -19.0, -20.0, -17.0]","[1014, 1037, 1292, 1308, 1613]",15.62,2048.666,8.449,11088,26912,11088,21,52.1,28.766666666666666,0.23166666666666666,0.0558607452511748,0.0,2.427163606279774,"[ 1.0571518  -0.04522133 -0.0396595   0.13192749  0.16796684  0.13467216
  0.01713753  0.07907486  0.06035042  0.10227585  0.1259079   0.11016655
  0.15464592 -0.01525116  0.01178932  0.13641167  1.0510292   0.02363586
  0.04062653  0.07375526 -0.09580421 -0.06711769  0.07443619  0.02008247
  0.09269142 -0.01984406  0.0994091   0.010149   -0.08719635  0.35729027
 -0.05060196  0.1335125 ]",0.0005,-28.510738372802734,-28.678117752075195,-28.277860641479492,0.12016874551773071
-17.0,-21.0,-19.833333333333332,1215.3333333333333,1,3,12096,False,6,12,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-51,1589087211,4.710858106613159,60.51845836639404,19310,ip-172-31-20-81,172.31.20.81,60.51845836639404,0,12,00000,0,"[-21.0, -19.0, -20.0, -17.0, -21.0, -21.0]","[1028, 1292, 1308, 1613, 1014, 1037]",15.821,2022.597,5.322,12096,29600,12096,23,52.36666666666667,29.183333333333337,0.21,0.0558607452511748,0.0,3.1619788753612013,"[-0.05243111  0.929163   -0.1944313  -0.10646057 -0.29145622 -0.19249153
 -0.14718056 -0.22758865 -0.10162163 -0.0842762  -0.11905479 -0.21813202
 -0.30631447 -0.24409485 -0.05827332 -0.03937149 -0.28216934 -0.104002
 -0.1801014  -0.02018356 -0.1523304  -0.22636986 -0.02020264 -0.11256409
 -0.2692337  -0.18930244 -0.01347923 -0.05400848 -0.18022728  0.03878784
 -0.15769577 -0.13853073]",0.0005,-28.440326690673828,-28.571455001831055,-28.256237030029297,-0.10986340045928955
-17.0,-21.0,-19.833333333333332,1215.3333333333333,0,3,13104,False,6,13,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-06-55,1589087215,4.6836256980896,65.20208406448364,19310,ip-172-31-20-81,172.31.20.81,65.20208406448364,0,13,00000,0,"[-19.0, -20.0, -17.0, -21.0, -21.0, -21.0]","[1292, 1308, 1613, 1014, 1037, 1028]",18.957,1688.002,5.334,13104,32288,13104,25,51.800000000000004,29.566666666666663,0.18333333333333332,0.0558607452511748,0.0,2.342476149163569,"[ 1.05882645e-01  4.02565002e-02 -2.67577000e+01  1.63469315e-01
  1.93672180e-02  1.54727936e-01  6.94065094e-02  2.38409042e-01
  1.96735382e-01 -4.35867310e-02  1.98526382e-01 -7.54165649e-02
 -9.96208191e-03  2.32177734e-01  9.74979401e-02 -7.09800720e-02
 -8.28876495e-02 -8.06999207e-03 -2.78358459e-02  1.08308792e-01
 -1.25730515e-01  1.28494263e-01  2.21889496e-01  2.29663849e-01
  1.66824341e-01  1.43007278e-01  9.42720413e-01  1.69649124e-01
  1.99043274e-01  1.80784225e-01  6.45828247e-03 -6.38046265e-02]",0.0005,-27.769039154052734,-27.98529815673828,-27.572559356689453,-0.7266460657119751
-17.0,-21.0,-20.125,1206.25,2,3,14112,False,8,14,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-00,1589087220,4.720542669296265,69.92262673377991,19310,ip-172-31-20-81,172.31.20.81,69.92262673377991,0,14,00000,0,"[-21.0, -21.0, -19.0, -20.0, -17.0, -21.0, -21.0, -21.0]","[1220, 1138, 1292, 1308, 1613, 1014, 1037, 1028]",15.679,2040.943,5.259,14112,34976,14112,27,52.5,29.966666666666665,0.19499999999999998,0.0558607452511748,0.0,0.5198180853221406,"[ 3.7448883e-02 -1.4253807e-01  4.2327881e-02 -7.3814392e-03
  3.0736923e-02  2.5842667e-02  7.1258545e-03  1.0659027e-01
  7.5077057e-02  5.0006866e-02 -1.6881943e-02  1.4617538e-01
  8.5638046e-02 -2.1039581e-01 -1.0263443e-02 -3.6306381e-02
  1.9197464e-02  7.9885483e-02  1.5089417e-01  4.2232513e-02
 -8.3770752e-02  4.5049667e-02  6.2274933e-02 -1.6138077e-02
 -2.5944147e+01 -1.6814423e-01 -9.1400146e-03  7.5634575e-01
  7.5107574e-02  4.5671463e-02  1.0871887e-04  1.6056633e-01]",0.0005,-27.06346893310547,-27.467449188232422,-26.80963706970215,-0.7687751054763794
-17.0,-21.0,-20.22222222222222,1203.0,1,3,15120,False,9,15,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-05,1589087225,4.680206537246704,74.60283327102661,19310,ip-172-31-20-81,172.31.20.81,74.60283327102661,0,15,00000,0,"[-21.0, -19.0, -20.0, -17.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1177, 1292, 1308, 1613, 1014, 1037, 1028, 1220, 1138]",19.383,1650.955,5.56,15120,37664,15120,29,52.73333333333333,30.366666666666664,0.24333333333333332,0.0558607452511748,0.0,4.986626704364257,"[-0.23225021 -0.08179855 -0.19223976 -0.1232605  -0.21114922 -0.17152786
 -0.05335236 -0.07664871 -0.23453903 -0.33010864 -0.2908783  -0.20162582
 -0.552269   -0.3530426  -0.14393044 -0.12767029 -0.22618675 -0.21992874
 -0.15296173 -0.3362503  -0.3126564  -0.45222664 -0.5248852  -0.16366386
  0.6909847  -0.16704369 -0.08141899 -0.16926956 -0.18079758 -0.20477867
 -0.14621544 -0.22997284]",0.0005,-27.151103973388672,-27.407949447631836,-26.911989212036133,-0.19542384147644043
-17.0,-21.0,-20.22222222222222,1203.0,0,3,16128,False,9,16,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-10,1589087230,4.6648852825164795,79.26771855354309,19310,ip-172-31-20-81,172.31.20.81,79.26771855354309,0,16,00000,0,"[-19.0, -20.0, -17.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1292, 1308, 1613, 1014, 1037, 1028, 1220, 1138, 1177]",15.837,2020.618,5.279,16128,40352,16128,31,52.416666666666664,30.766666666666666,0.24333333333333332,0.0558607452511748,0.0,1.887171370974463,"[-1.03437424e-01 -8.57868195e-02 -1.58685684e-01 -2.00225830e-01
  9.15346146e-01 -1.58258438e-01 -1.00564957e-01 -1.68931961e-01
 -1.36350632e-01 -2.61478424e-02 -1.00717545e-01 -3.90129089e-02
 -7.33947754e-02 -1.57155991e-01 -1.83691025e-01 -1.77974701e-01
 -1.75525665e-01 -1.02825165e-01 -9.03682709e-02 -2.37964630e-01
 -6.97956085e-02 -5.38330078e-02  8.92477036e-01 -1.18352890e-01
  3.34548950e-03 -1.31490707e-01 -2.36391068e-01 -1.25396729e-01
  6.42871857e-01 -2.54370747e+01 -2.52950230e+01 -1.44792557e-01]",0.0005,-26.50445556640625,-26.67926788330078,-26.290348052978516,-1.6135977506637573
-17.0,-21.0,-20.3,1192.3,1,3,17136,False,10,17,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-14,1589087234,4.6413795948028564,83.90909814834595,19310,ip-172-31-20-81,172.31.20.81,83.90909814834595,0,17,00000,0,"[-21.0, -19.0, -20.0, -17.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1096, 1292, 1308, 1613, 1014, 1037, 1028, 1220, 1138, 1177]",15.581,2053.735,4.872,17136,43040,17136,33,52.260000000000005,31.140000000000004,0.22999999999999998,0.055860745251174806,0.0,2.2183778091196396,"[-0.00849724 -0.09529114 -0.19485664 -0.09720802 -0.12399292 -0.10449219
 -0.01894951 -0.04142189  0.01660347 -0.0713253  -0.07863426  0.04585457
 -0.30057907 -0.19109154 -0.09234238 -0.0969944   0.02186584 -0.0230217
 -0.05254936 -0.1988926  -0.28318214 -0.03652763  0.15026474 -0.04774284
 -0.26347733  0.02414703 -0.14558029 -0.1888218  -0.07379341 -0.01069069
  0.07966232 -0.14312363]",0.0005,-25.992324829101562,-26.173419952392578,-25.833206176757812,-0.08264631032943726
-17.0,-21.0,-20.272727272727273,1192.7272727272727,1,3,18144,False,11,18,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-19,1589087239,4.687884330749512,88.59698247909546,19310,ip-172-31-20-81,172.31.20.81,88.59698247909546,0,18,00000,0,"[-20.0, -19.0, -20.0, -17.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0]","[1197, 1292, 1308, 1613, 1014, 1037, 1028, 1220, 1138, 1177, 1096]",15.625,2047.966,4.904,18144,45728,18144,35,52.43333333333334,31.53333333333333,0.20499999999999996,0.0558607452511748,0.0,2.126860066465479,"[-0.15166473 -0.21522903 -0.19421768 -0.07928658 -0.01354027 -0.09371948
 -0.05738068 -0.19732475 -0.15028763 -0.04833412 -0.07301521 -0.03822327
 -0.13693047 -0.16550064 -0.27560234 -0.13383293  0.06521225 -0.20290756
 -0.39421463  0.06455994  0.0268383  -0.11305809  0.05823708  0.02791595
 -0.01077652 -0.08163834 -0.00224304 -0.00649452 -0.02283478  0.00406456
 -0.1257782   0.00541687]",0.0005,-25.217994689941406,-25.507375717163086,-24.974689483642578,-0.08536845445632935
-17.0,-21.0,-20.25,1202.8333333333333,1,3,19152,False,12,19,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-24,1589087244,4.720698595046997,93.31768107414246,19310,ip-172-31-20-81,172.31.20.81,93.31768107414246,0,19,00000,0,"[-20.0, -19.0, -20.0, -17.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0]","[1314, 1292, 1308, 1613, 1014, 1037, 1028, 1220, 1138, 1177, 1096, 1197]",15.947,2006.613,5.313,19152,48416,19152,37,52.78333333333333,31.916666666666668,0.19666666666666666,0.0558607452511748,0.0,4.402395415276022,"[-0.13124275 -0.344656   -0.3187313  -0.0740509  -0.32380867 -0.22676659
 -0.529192   -0.3756771   0.66744995 -0.00774765 -0.19601822 -0.18933678
 -0.36538506 -0.07019615 -0.24199104 -0.4087162  -0.05935478 -0.40361595
 -0.40909004 -0.2664261  -0.43346024 -0.05464554 -0.20620728 -0.14425468
 -0.30163956 -0.47106934 -0.3337021  -0.1540699  -0.34263992 -0.22023773
 -0.36365128 -0.18906021]",0.0005,-24.74213409423828,-24.932558059692383,-24.522171020507812,-0.23403722047805786
-17.0,-21.0,-20.25,1202.8333333333333,0,3,20160,False,12,20,0c391b2a29354e99b8305984e66b5a4e,2020-05-10_05-07-29,1589087249,4.735165357589722,98.05284643173218,19310,ip-172-31-20-81,172.31.20.81,98.05284643173218,0,20,00000,0,"[-19.0, -20.0, -17.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -20.0]","[1292, 1308, 1613, 1014, 1037, 1028, 1220, 1138, 1177, 1096, 1197, 1314]",15.797,2025.696,9.085,20160,51104,20160,39,51.93333333333334,32.31666666666667,0.24,0.0558607452511748,0.0,0.8697781587346404,"[ 1.38372421e-01  8.96480560e-01  3.21636200e-02  9.06660080e-01
  1.05276108e-01  8.79287720e-02  1.31244659e-02  1.27487183e-02
 -5.44128418e-02 -3.45783234e-02  1.72597885e-01 -2.28230286e+01
 -2.25449295e+01 -1.09081268e-02 -1.47535324e-01  2.97698975e-02
 -1.31509781e-01  8.57448578e-02  8.92181396e-02  2.73284912e-02
 -9.97734070e-03  4.56638336e-02 -1.03219986e-01 -3.37657928e-02
 -4.82826233e-02  1.71070099e-02  7.49969482e-02  1.37359619e-01
  1.90895081e-01  2.97279358e-02 -7.84244537e-02  1.10548019e-01]",0.0005,-23.871688842773438,-24.129167556762695,-23.54492950439453,-1.338026762008667
